,0
0,2.01
1,4.19
2,1.55
3,4.66
4,1.78
5,2.56
6,1.5
7,3.23
8,1.81
9,8.16
10,1.59
11,2.82
12,2.1
13,12.34
14,2.96
15,1.78
16,1.03
17,1.0
18,2.01
19,1.2
20,2.36
21,2.24
22,1.59
23,3.69
24,2.88
25,6.1
26,1.98
27,1.15
28,1.09
29,1.42
30,1.27
31,3.94
32,1.52
33,1.67
34,2.27
35,1.13
36,2.69
37,1.47
38,6.49
39,2.07
40,1.14
41,2.97
42,1.19
43,9.26
44,8.92
45,230.18
46,4.23
47,2.89
48,4.39
49,2.43
50,1.35
51,2.5
52,3.24
53,1.37
54,1.02
55,13.36
56,5.21
57,21.05
58,2.89
59,10.56
60,12.08
61,1.05
62,1.13
63,1.04
64,1.17
65,8.78
66,1.26
67,9.05
68,7.73
69,1.12
70,2.66
71,1.8
72,1.42
73,2.51
74,1.08
75,1.17
76,1.98
77,3.31
78,1.45
79,2.95
80,7.11
81,3.44
82,1.14
83,1.99
84,1.59
85,1.37
86,1.84
87,90.74
88,9.83
89,1.9
90,1.39
91,1.44
92,1.79
93,13.42
94,1.0
95,6.63
96,1.2
97,2.79
98,2.65
99,39.76
100,1.06
101,1.37
102,1.79
103,2.17
104,1.15
105,1.94
106,1.07
107,3.59
108,4.1
109,2.3
110,3.0
111,1.0
112,2.1
113,1.21
114,3.84
115,1.48
116,1.3
117,4.7
118,1.91
119,8.93
120,8.08
121,10.11
122,3.62
123,2.12
124,1.79
125,1.92
126,1.08
127,1.57
128,7.82
129,2.86
130,1.47
131,1.15
132,1.17
133,1.0
134,5.91
135,1.49
136,5.86
137,1.46
138,10.68
139,7.7
140,9.85
141,1.99
142,1.07
143,1.4
144,3.47
145,1.68
146,8.88
147,1.06
148,1.49
149,2.65
150,35.41
151,1.65
152,2.05
153,2.43
154,1.44
155,1.25
156,2.63
157,1.22
158,2.11
159,1.15
160,2.6
161,1.21
162,1.17
163,1.2
164,4.81
165,1.24
166,8.26
167,1.0
168,1.81
169,1.59
170,1.1
171,1.67
172,12.15
173,1.15
174,5.17
175,2.29
176,1.5
177,2.89
178,46.78
179,1.81
180,38.76
181,1.03
182,1.54
183,20.24
184,3.18
185,1.0
186,2.17
187,2.04
188,2.94
189,2.86
190,1.73
191,2.34
192,2.79
193,1.61
194,2.08
195,14.12
196,1.03
197,1.55
198,1.92
199,1.17
200,1.27
201,3.71
202,1.62
203,1.55
204,11.13
205,2.4
206,1.6
207,1.09
208,4.68
209,1.66
210,1.67
211,5.44
212,1.0
213,1.67
214,1.51
215,1.87
216,1.26
217,2.47
218,2.98
219,3.41
220,4.1
221,1.63
222,2.98
223,10.77
224,3.76
225,1.89
226,1.37
227,3.14
228,1.39
229,2.23
230,2.56
231,1.06
232,1.17
233,1.01
234,1.69
235,2.95
236,1.0
237,1.44
238,2.69
239,1.03
240,2.42
241,1.72
242,1.0
243,3.61
244,6.66
245,35.09
246,6.2
247,21.81
248,1.42
249,1.48
250,1.03
251,3.33
252,1.11
253,2.12
254,2.34
255,1.71
256,2.64
257,1.82
258,1.0
259,4.85
260,3.99
261,4.62
262,1.16
263,1.45
264,1.78
265,1.46
266,1.01
267,1.09
268,1.77
269,4.32
270,1.15
271,2.8
272,1.74
273,6.02
274,42.61
275,1.42
276,1.25
277,1.0
278,18.48
279,1.03
280,3.74
281,1.91
282,303.46
283,1.08
284,25.98
285,1.16
286,1.55
287,13.76
288,1.76
289,7.25
290,10.14
291,9.65
292,1.93
293,4.32
294,1.47
295,2.02
296,1.65
297,1.15
298,1.87
299,1.17
300,2.5
301,1.1
302,1.14
303,1.49
304,1.85
305,1.0
306,1.33
307,3.36
308,1.19
309,1.2
310,42.25
311,2.52
312,5.23
313,1.45
314,5.67
315,1.04
316,4.05
317,2.4
318,4.17
319,1.53
320,1.53
321,1.53
322,1.53
323,1.53
324,1.53
325,1.53
326,1.53
327,1.53
328,1.53
329,17.83
330,2.17
331,4.41
332,5.07
333,38.71
334,1.23
335,1.32
336,6.72
337,2.1
338,1.17
339,2.06
340,1.43
341,2.27
342,1.07
343,5.39
344,1.82
345,1.22
346,1.38
347,1.71
348,4.04
349,2.34
350,2.14
351,9.35
352,1.28
353,1.24
354,22.96
355,3.9
356,1.66
357,13.49
358,2.13
359,1.1
360,15.35
361,1.73
362,221.8
363,2.07
364,1.85
365,4.08
366,1.3
367,2.96
368,1.3
