,0,1
0,1.24,1589665705.723302
1,8.34,1589665719.765443
2,1.0,1589665733.804189
3,1.03,1589665740.8345332
4,26.93,1589665811.033018
5,1.0,1589665818.059618
6,24.16,1589665881.2805068
7,1.49,1589665895.332709
8,1.44,1589665916.409499
9,1.78,1589665937.4867651
10,1.35,1589665951.53646
11,9.53,1589666000.7116292
12,9.98,1589666042.8606348
13,1.73,1589666063.928552
14,1.22,1589666077.988551
15,1.16,1589666092.040985
16,1.48,1589666106.097895
17,1.78,1589666127.184459
18,1.58,1589666148.255888
19,2.06,1589666169.341886
20,1.33,1589666183.402695
21,1.97,1589666204.479891
22,7.08,1589666246.653928
23,1.0,1589666260.7109041
24,1.07,1589666267.740246
25,1.19,1589666281.795926
26,1.12,1589666295.8476942
27,7.69,1589666338.001436
28,1.0,1589666352.055922
29,6.48,1589666394.223816
30,1.9,1589666415.304018
31,2.2,1589666436.392947
32,5.43,1589666471.529234
33,4.97,1589666513.6952882
34,1.65,1589666527.770488
35,2.23,1589666555.88372
36,13.78,1589666605.0878038
37,1.45,1589666626.214964
38,21.48,1589666682.437161
39,1.08,1589666696.49546
40,2.83,1589666724.611354
41,1.79,1589666745.694916
42,1.56,1589666759.743298
43,1.35,1589666773.796191
44,4.42,1589666808.935026
45,1.02,1589666822.990317
46,1.0,1589666830.0155149
47,1.0,1589666837.068782
48,1.0,1589666844.099723
49,1.14,1589666858.138835
50,3.21,1589666886.2351391
51,1.74,1589666907.300241
52,8.43,1589666949.440599
53,9.44,1589666998.580779
54,1.23,1589667012.6242151
55,1.67,1589667033.68434
56,5.14,1589667068.79734
57,5.03,1589667103.917842
58,2.12,1589667124.988086
59,1.27,1589667139.0383859
60,2.12,1589667167.128059
61,3.26,1589667195.225921
62,17.33,1589667251.418735
63,1.2,1589667265.482975
64,4.33,1589667300.597518
65,2.81,1589667328.706079
66,1.17,1589667342.753685
67,1.12,1589667349.780837
68,1.23,1589667363.832164
69,2.05,1589667391.937828
70,1.67,1589667405.986184
71,2.54,1589667434.088334
72,1.69,1589667455.1620579
73,2.57,1589667476.235296
74,13.64,1589667532.458991
75,3.33,1589667560.5672472
76,1.88,1589667581.648757
77,3.38,1589667616.7965991
78,1.26,1589667630.836847
